fact_table_key,customer_key,payment_key,store_key,first_name,last_name,email,amount,last_update,create_date_key,payment_date_key
334,13,334,2,KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,8.99,"2006-02-15 04:57:12",20060214,20050620
335,13,335,2,KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,2.99,"2006-02-15 04:57:12",20060214,20050706
336,13,336,2,KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,8.99,"2006-02-15 04:57:12",20060214,20050711
337,13,337,2,KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,2.99,"2006-02-15 04:57:12",20060214,20050712
338,13,338,2,KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,0.99,"2006-02-15 04:57:12",20060214,20050712
339,13,339,2,KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,2.99,"2006-02-15 04:57:12",20060214,20050712
340,13,340,2,KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,2.99,"2006-02-15 04:57:12",20060214,20050728
341,13,341,2,KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,2.99,"2006-02-15 04:57:12",20060214,20050729
342,13,342,2,KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,11.99,"2006-02-15 04:57:12",20060214,20050729
343,13,343,2,KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,9.99,"2006-02-15 04:57:12",20060214,20050730
344,13,344,2,KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,0.99,"2006-02-15 04:57:12",20060214,20050730
345,13,345,2,KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,0.99,"2006-02-15 04:57:12",20060214,20050731
346,13,346,2,KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,7.99,"2006-02-15 04:57:12",20060214,20050731
347,13,347,2,KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,4.99,"2006-02-15 04:57:12",20060214,20050731
348,13,348,2,KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,4.99,"2006-02-15 04:57:12",20060214,20050802
349,13,349,2,KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,0.99,"2006-02-15 04:57:12",20060214,20050802
350,13,350,2,KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,5.99,"2006-02-15 04:57:12",20060214,20050817
351,13,351,2,KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,7.99,"2006-02-15 04:57:12",20060214,20050819
352,13,352,2,KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,4.99,"2006-02-15 04:57:12",20060214,20050819
353,13,353,2,KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,0.99,"2006-02-15 04:57:12",20060214,20050819
354,13,354,2,KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,0.99,"2006-02-15 04:57:12",20060214,20050820
355,13,355,2,KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,9.99,"2006-02-15 04:57:12",20060214,20050821
356,13,356,2,KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,7.99,"2006-02-15 04:57:12",20060214,20050821
357,13,357,2,KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,4.99,"2006-02-15 04:57:12",20060214,20050822
358,14,358,2,BETTY,WHITE,BETTY.WHITE@sakilacustomer.org,0.99,"2006-02-15 04:57:12",20060214,20050526
359,14,359,2,BETTY,WHITE,BETTY.WHITE@sakilacustomer.org,9.99,"2006-02-15 04:57:12",20060214,20050527
360,14,360,2,BETTY,WHITE,BETTY.WHITE@sakilacustomer.org,5.99,"2006-02-15 04:57:12",20060214,20050528
361,14,361,2,BETTY,WHITE,BETTY.WHITE@sakilacustomer.org,2.99,"2006-02-15 04:57:12",20060214,20050528
362,14,362,2,BETTY,WHITE,BETTY.WHITE@sakilacustomer.org,0.99,"2006-02-15 04:57:12",20060214,20050529
363,14,363,2,BETTY,WHITE,BETTY.WHITE@sakilacustomer.org,4.99,"2006-02-15 04:57:12",20060214,20050615
364,14,364,2,BETTY,WHITE,BETTY.WHITE@sakilacustomer.org,2.99,"2006-02-15 04:57:12",20060214,20050706
365,14,365,2,BETTY,WHITE,BETTY.WHITE@sakilacustomer.org,0.99,"2006-02-15 04:57:12",20060214,20050708
366,14,366,2,BETTY,WHITE,BETTY.WHITE@sakilacustomer.org,0.99,"2006-02-15 04:57:12",20060214,20050709
