"fact_table_key";"customer_key";"payment_key";"store_key";"first_name";"last_name";"email";"amount";"last_update";"create_date_key";"payment_date_key"
1;1;1;1;"MARY";"SMITH";"MARY.SMITH@sakilacustomer.org";2.99;"2006-02-15 04:57:12";20060214;20050525
2;1;2;1;"MARY";"SMITH";"MARY.SMITH@sakilacustomer.org";0.99;"2006-02-15 04:57:12";20060214;20050528
3;1;3;1;"MARY";"SMITH";"MARY.SMITH@sakilacustomer.org";5.99;"2006-02-15 04:57:12";20060214;20050615
4;1;4;1;"MARY";"SMITH";"MARY.SMITH@sakilacustomer.org";0.99;"2006-02-15 04:57:12";20060214;20050615
5;1;5;1;"MARY";"SMITH";"MARY.SMITH@sakilacustomer.org";9.99;"2006-02-15 04:57:12";20060214;20050615
6;1;6;1;"MARY";"SMITH";"MARY.SMITH@sakilacustomer.org";4.99;"2006-02-15 04:57:12";20060214;20050616
7;1;7;1;"MARY";"SMITH";"MARY.SMITH@sakilacustomer.org";4.99;"2006-02-15 04:57:12";20060214;20050618
8;1;8;1;"MARY";"SMITH";"MARY.SMITH@sakilacustomer.org";0.99;"2006-02-15 04:57:12";20060214;20050618
9;1;9;1;"MARY";"SMITH";"MARY.SMITH@sakilacustomer.org";3.99;"2006-02-15 04:57:12";20060214;20050621
10;1;10;1;"MARY";"SMITH";"MARY.SMITH@sakilacustomer.org";5.99;"2006-02-15 04:57:12";20060214;20050708
11;1;11;1;"MARY";"SMITH";"MARY.SMITH@sakilacustomer.org";5.99;"2006-02-15 04:57:12";20060214;20050708
12;1;12;1;"MARY";"SMITH";"MARY.SMITH@sakilacustomer.org";4.99;"2006-02-15 04:57:12";20060214;20050709
13;1;13;1;"MARY";"SMITH";"MARY.SMITH@sakilacustomer.org";4.99;"2006-02-15 04:57:12";20060214;20050709
14;1;14;1;"MARY";"SMITH";"MARY.SMITH@sakilacustomer.org";7.99;"2006-02-15 04:57:12";20060214;20050711
15;1;15;1;"MARY";"SMITH";"MARY.SMITH@sakilacustomer.org";2.99;"2006-02-15 04:57:12";20060214;20050727
16;1;16;1;"MARY";"SMITH";"MARY.SMITH@sakilacustomer.org";4.99;"2006-02-15 04:57:12";20060214;20050728
17;1;17;1;"MARY";"SMITH";"MARY.SMITH@sakilacustomer.org";4.99;"2006-02-15 04:57:12";20060214;20050728
18;1;18;1;"MARY";"SMITH";"MARY.SMITH@sakilacustomer.org";0.99;"2006-02-15 04:57:12";20060214;20050728
19;1;19;1;"MARY";"SMITH";"MARY.SMITH@sakilacustomer.org";0.99;"2006-02-15 04:57:12";20060214;20050728
20;1;20;1;"MARY";"SMITH";"MARY.SMITH@sakilacustomer.org";2.99;"2006-02-15 04:57:12";20060214;20050729
21;1;21;1;"MARY";"SMITH";"MARY.SMITH@sakilacustomer.org";2.99;"2006-02-15 04:57:12";20060214;20050731
22;1;22;1;"MARY";"SMITH";"MARY.SMITH@sakilacustomer.org";4.99;"2006-02-15 04:57:12";20060214;20050801
23;1;23;1;"MARY";"SMITH";"MARY.SMITH@sakilacustomer.org";3.99;"2006-02-15 04:57:12";20060214;20050802
24;1;24;1;"MARY";"SMITH";"MARY.SMITH@sakilacustomer.org";0.99;"2006-02-15 04:57:12";20060214;20050802
25;1;25;1;"MARY";"SMITH";"MARY.SMITH@sakilacustomer.org";4.99;"2006-02-15 04:57:12";20060214;20050817
26;1;26;1;"MARY";"SMITH";"MARY.SMITH@sakilacustomer.org";0.99;"2006-02-15 04:57:12";20060214;20050818
27;1;27;1;"MARY";"SMITH";"MARY.SMITH@sakilacustomer.org";0.99;"2006-02-15 04:57:12";20060214;20050819
28;1;28;1;"MARY";"SMITH";"MARY.SMITH@sakilacustomer.org";2.99;"2006-02-15 04:57:12";20060214;20050819
29;1;29;1;"MARY";"SMITH";"MARY.SMITH@sakilacustomer.org";0.99;"2006-02-15 04:57:12";20060214;20050821
30;1;30;1;"MARY";"SMITH";"MARY.SMITH@sakilacustomer.org";1.99;"2006-02-15 04:57:12";20060214;20050822
31;1;31;1;"MARY";"SMITH";"MARY.SMITH@sakilacustomer.org";2.99;"2006-02-15 04:57:12";20060214;20050822
32;1;32;1;"MARY";"SMITH";"MARY.SMITH@sakilacustomer.org";5.99;"2006-02-15 04:57:12";20060214;20050822
33;2;33;1;"PATRICIA";"JOHNSON";"PATRICIA.JOHNSON@sakilacustomer.org";4.99;"2006-02-15 04:57:12";20060214;20050527
34;2;34;1;"PATRICIA";"JOHNSON";"PATRICIA.JOHNSON@sakilacustomer.org";2.99;"2006-02-15 04:57:12";20060214;20050617
35;2;35;1;"PATRICIA";"JOHNSON";"PATRICIA.JOHNSON@sakilacustomer.org";2.99;"2006-02-15 04:57:12";20060214;20050710
36;2;36;1;"PATRICIA";"JOHNSON";"PATRICIA.JOHNSON@sakilacustomer.org";6.99;"2006-02-15 04:57:12";20060214;20050710
37;2;37;1;"PATRICIA";"JOHNSON";"PATRICIA.JOHNSON@sakilacustomer.org";4.99;"2006-02-15 04:57:12";20060214;20050727
38;2;38;1;"PATRICIA";"JOHNSON";"PATRICIA.JOHNSON@sakilacustomer.org";5.99;"2006-02-15 04:57:12";20060214;20050727
39;2;39;1;"PATRICIA";"JOHNSON";"PATRICIA.JOHNSON@sakilacustomer.org";5.99;"2006-02-15 04:57:12";20060214;20050727
40;2;40;1;"PATRICIA";"JOHNSON";"PATRICIA.JOHNSON@sakilacustomer.org";5.99;"2006-02-15 04:57:12";20060214;20050729
41;2;41;1;"PATRICIA";"JOHNSON";"PATRICIA.JOHNSON@sakilacustomer.org";2.99;"2006-02-15 04:57:12";20060214;20050729
